GO:0004866	endopeptidase inhibitor activity
GO:0080132	fatty acid alpha-hydroxylase activity
GO:0072591	citrate-L-glutamate ligase activity
GO:0042166	acetylcholine binding
GO:0042165	neurotransmitter binding
GO:0042164	interleukin-12 alpha subunit binding
GO:0038131	neuregulin receptor activity
GO:0097726	LEM domain binding
GO:0038132	neuregulin binding
GO:0051428	peptide hormone receptor binding
GO:0051429	corticotropin-releasing hormone receptor binding
GO:0051427	hormone receptor binding
GO:0051424	corticotropin-releasing hormone binding
GO:0051425	PTB domain binding
GO:0008519	ammonium transmembrane transporter activity
GO:0061920	protein propionyltransferase activity
GO:0120160	intraciliary transport particle A binding
GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0047086	ketosteroid monooxygenase activity
GO:0071714	icosanoid transmembrane transporter activity
GO:0033678	5'-3' DNA/RNA helicase activity
GO:0071713	para-aminobenzoyl-glutamate hydrolase activity
GO:0015131	oxaloacetate transmembrane transporter activity
GO:0016018	cyclosporin A binding
GO:0016019	peptidoglycan immune receptor activity
GO:0042988	X11-like protein binding
GO:0060422	peptidyl-dipeptidase inhibitor activity
GO:0030249	guanylate cyclase regulator activity
GO:0034986	iron chaperone activity
GO:0061459	L-arginine transmembrane transporter activity
GO:0016230	sphingomyelin phosphodiesterase activator activity
GO:0042296	ISG15 transferase activity
GO:0033130	acetylcholine receptor binding
GO:0030246	carbohydrate binding
GO:0042292	URM1 activating enzyme activity
GO:0008962	phosphatidylglycerophosphatase activity
GO:0061928	glutathione specific gamma-glutamylcyclotransferase activity
GO:0034236	protein kinase A catalytic subunit binding
GO:0034237	protein kinase A regulatory subunit binding
GO:0034235	GPI anchor binding
GO:0034584	piRNA binding
GO:0008513	secondary active organic cation transmembrane transporter activity
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity
GO:0004349	glutamate 5-kinase activity
GO:0032450	maltose alpha-glucosidase activity
GO:0051731	polynucleotide 5'-hydroxyl-kinase activity
GO:0051736	ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity
GO:0051734	ATP-dependent polynucleotide kinase activity
GO:0070404	NADH binding
GO:0019871	sodium channel inhibitor activity
GO:0019870	potassium channel inhibitor activity
GO:0050046	lathosterol oxidase activity
GO:0010698	acetyltransferase activator activity
GO:0035727	lysophosphatidic acid binding
GO:1990276	RNA 5'-methyltransferase activity
GO:0051264	mono-olein transacylation activity
GO:0004366	glycerol-3-phosphate O-acyltransferase activity
GO:0070539	linoleic acid binding
GO:0032454	histone demethylase activity (H3-K9 specific)
GO:0098695	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels
GO:0061981	3-hydroxykynureninase activity
GO:1990381	ubiquitin-specific protease binding
GO:0106229	histone glutaryltransferase activity
GO:0017056	structural constituent of nuclear pore
GO:1990254	keratin filament binding
GO:0017050	D-erythro-sphingosine kinase activity
GO:0042625	ATPase-coupled ion transmembrane transporter activity
GO:0106231	protein-propionyllysine depropionylase activity
GO:1990259	histone-glutamine methyltransferase activity
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding
GO:0001165	RNA polymerase I cis-regulatory region sequence-specific DNA binding
GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
GO:0071424	rRNA (cytosine-N4-)-methyltransferase activity
GO:0030021	extracellular matrix structural constituent conferring compression resistance
GO:0030020	extracellular matrix structural constituent conferring tensile strength
GO:0034056	estrogen response element binding
GO:0034057	RNA strand-exchange activity
GO:0016402	pristanoyl-CoA oxidase activity
GO:0086079	gap junction channel activity involved in Purkinje myocyte-ventricular cardiac muscle cell electrical coupling
GO:0022829	wide pore channel activity
GO:0035299	inositol pentakisphosphate 2-kinase activity
GO:0042586	peptide deformylase activity
GO:0086075	gap junction channel activity involved in cardiac conduction electrical coupling
GO:0070551	endoribonuclease activity, cleaving siRNA-paired mRNA
GO:0086077	gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling
GO:0086076	gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling
GO:0002153	steroid receptor RNA activator RNA binding
GO:0002151	G-quadruplex RNA binding
GO:0051880	G-quadruplex DNA binding
GO:0031995	insulin-like growth factor II binding
GO:0031996	thioesterase binding
GO:0031997	N-terminal myristoylation domain binding
GO:0043199	sulfate binding
GO:0008967	phosphoglycolate phosphatase activity
GO:0061821	telomeric D-loop binding
GO:0033829	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity
GO:0001609	G protein-coupled adenosine receptor activity
GO:0035613	RNA stem-loop binding
GO:0035612	AP-2 adaptor complex binding
GO:0008897	holo-[acyl-carrier-protein] synthase activity
GO:0035615	clathrin adaptor activity
GO:0034039	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity
GO:0036403	arachidonate 8(S)-lipoxygenase activity
GO:0036402	proteasome-activating ATPase activity
GO:0042131	thiamine phosphate phosphatase activity
GO:0102345	3-hydroxy-lignoceroyl-CoA dehydratase activity
GO:0031755	Edg-2 lysophosphatidic acid receptor binding
GO:0031752	D5 dopamine receptor binding
GO:0031750	D3 dopamine receptor binding
GO:0050459	ethanolamine-phosphate phospho-lyase activity
GO:0035473	lipase binding
GO:0035472	choriogonadotropin hormone receptor activity
GO:1901480	oleate transmembrane transporter activity
GO:0030116	glial cell-derived neurotrophic factor receptor binding
GO:0047326	inositol tetrakisphosphate 5-kinase activity
GO:1990583	phospholipase D activator activity
GO:0035478	chylomicron binding
GO:0106313	methylenetetrahydrofolate reductase NADPH activity
GO:0106312	methylenetetrahydrofolate reductase NADH activity
GO:0106311	protein threonine kinase activity
GO:0106310	protein serine kinase activity
GO:0031775	lutropin-choriogonadotropic hormone receptor binding
GO:0070336	flap-structured DNA binding
GO:0120053	ribitol beta-1,4-xylosyltransferase activity
GO:0005078	MAP-kinase scaffold activity
GO:0005528	FK506 binding
GO:0097472	cyclin-dependent protein kinase activity
GO:0033744	L-methionine
GO:0051959	dynein light intermediate chain binding
GO:0106321	S-(hydroxymethyl)glutathione dehydrogenase NADP activity
GO:0033328	peroxisome membrane targeting sequence binding
GO:0140030	modification-dependent protein binding
GO:0015105	arsenite transmembrane transporter activity
GO:0038164	thrombopoietin receptor activity
GO:0004304	estrone sulfotransferase activity
GO:0002134	UTP binding
GO:0019776	Atg8 ligase activity
GO:0005092	GDP-dissociation inhibitor activity
GO:0005093	Rab GDP-dissociation inhibitor activity
GO:0005096	GTPase activator activity
GO:0005094	Rho GDP-dissociation inhibitor activity
GO:0005095	GTPase inhibitor activity
GO:0005522	profilin binding
GO:0004788	thiamine diphosphokinase activity
GO:0045029	G protein-coupled UDP receptor activity
GO:0004308	exo-alpha-sialidase activity
GO:0045027	DNA end binding
GO:0004784	superoxide dismutase activity
GO:0031370	eukaryotic initiation factor 4G binding
GO:0005252	open rectifier potassium channel activity
GO:0004782	sulfinoalanine decarboxylase activity
GO:0003944	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity
GO:0019912	cyclin-dependent protein kinase activating kinase activity
GO:0005521	lamin binding
GO:0004419	hydroxymethylglutaryl-CoA lyase activity
GO:0004418	hydroxymethylbilane synthase activity
GO:0047874	dolichyldiphosphatase activity
GO:0004415	hyalurononglucosaminidase activity
GO:0050733	RS domain binding
GO:0106008	2-oxoglutaramate amidase activity
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0005415	nucleoside
GO:0005412	glucose
GO:0047988	hydroxyacid-oxoacid transhydrogenase activity
GO:0043716	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
GO:0102279	lecithin
GO:0008941	nitric oxide dioxygenase activity
GO:0008940	nitrate reductase activity
GO:0005328	neurotransmitter
GO:0099104	potassium channel activator activity
GO:0008761	UDP-N-acetylglucosamine 2-epimerase activity
GO:0099106	ion channel regulator activity
GO:0005324	long-chain fatty acid transporter activity
GO:0005326	neurotransmitter transmembrane transporter activity
GO:0008948	oxaloacetate decarboxylase activity
GO:0033749	histone demethylase activity (H4-R3 specific)
GO:0008768	UDP-sugar diphosphatase activity
GO:0008160	protein tyrosine phosphatase activator activity
GO:0061849	telomeric G-quadruplex DNA binding
GO:0048248	CXCR3 chemokine receptor binding
GO:0048244	phytanoyl-CoA dioxygenase activity
GO:0008168	methyltransferase activity
GO:0103067	4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol
GO:0140585	promoter-enhancer loop anchoring activity
GO:0042626	ATPase-coupled transmembrane transporter activity
GO:0000146	microfilament motor activity
GO:0034594	phosphatidylinositol trisphosphate phosphatase activity
GO:0008894	guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity
GO:0000149	SNARE binding
GO:0008891	glycolate oxidase activity
GO:0099580	ion antiporter activity involved in regulation of postsynaptic membrane potential
GO:0008893	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
GO:0008892	guanine deaminase activity
GO:0004301	epoxide hydrolase activity
GO:0004300	enoyl-CoA hydratase activity
GO:0004303	estradiol 17-beta-dehydrogenase activity
GO:0140037	sumo-dependent protein binding
GO:1990189	peptide-serine-N-acetyltransferase activity
GO:0140031	phosphorylation-dependent protein binding
GO:0004307	ethanolaminephosphotransferase activity
GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
GO:0004309	exopolyphosphatase activity
GO:0005251	delayed rectifier potassium channel activity
GO:0005520	insulin-like growth factor binding
GO:0005253	anion channel activity
GO:0005254	chloride channel activity
GO:0005527	macrolide binding
GO:0005524	ATP binding
GO:0005525	GTP binding
GO:0004129	cytochrome-c oxidase activity
GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
GO:0018423	protein C-terminal leucine carboxyl O-methyltransferase activity
GO:0102167	[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase activity
GO:0004123	cystathionine gamma-lyase activity
GO:0004122	cystathionine beta-synthase activity
GO:0004127	cytidylate kinase activity
GO:0004126	cytidine deaminase activity
GO:0035539	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity
GO:0003824	catalytic activity
GO:0008307	structural constituent of muscle
GO:0008301	DNA binding, bending
GO:0102499	SHG alpha-glucan phosphorylase activity
GO:0003823	antigen binding
GO:0045236	CXCR chemokine receptor binding
GO:0044716	8-oxo-GDP phosphatase activity
GO:0008309	double-stranded DNA exodeoxyribonuclease activity
GO:0008308	voltage-gated anion channel activity
GO:0044717	8-hydroxy-dADP phosphatase activity
GO:0008094	DNA-dependent ATPase activity
GO:0008097	5S rRNA binding
GO:0044378	non-sequence-specific DNA binding, bending
GO:0070615	nucleosome-dependent ATPase activity
GO:0008093	cytoskeletal anchor activity
GO:0008092	cytoskeletal protein binding
GO:0031402	sodium ion binding
GO:0031403	lithium ion binding
GO:0016836	hydro-lyase activity
GO:0044377	RNA polymerase II cis-regulatory region sequence-specific DNA binding, bending
GO:0031406	carboxylic acid binding
GO:0016831	carboxy-lyase activity
GO:0031404	chloride ion binding
GO:0016833	oxo-acid-lyase activity
GO:0051032	nucleic acid transmembrane transporter activity
GO:0018738	S-formylglutathione hydrolase activity
GO:0102549	1-18
GO:0018064	protein-histidine N-methyltransferase activity
GO:0102545	phosphatidyl phospholipase B activity
GO:0018733	3,4-dihydrocoumarin hydrolase activity
GO:0015280	ligand-gated sodium channel activity
GO:0015288	porin activity
GO:0008239	dipeptidyl-peptidase activity
GO:0008238	exopeptidase activity
GO:0043759	methylbutanoate-CoA ligase activity
GO:0045237	CXCR1 chemokine receptor binding
GO:0003951	NAD+ kinase activity
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0008233	peptidase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0008235	metalloexopeptidase activity
GO:0008234	cysteine-type peptidase activity
GO:0008237	metallopeptidase activity
GO:0008236	serine-type peptidase activity
GO:0043998	H2A histone acetyltransferase activity
GO:0045340	mercury ion binding
GO:0016743	carboxyl- or carbamoyltransferase activity
GO:0008781	N-acylneuraminate cytidylyltransferase activity
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0008783	agmatinase activity
GO:0051087	chaperone binding
GO:0008785	alkyl hydroperoxide reductase activity
GO:0043994	histone acetyltransferase activity (H3-K23 specific)
GO:0051082	unfolded protein binding
GO:0003828	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity
GO:0042809	vitamin D receptor binding
GO:0015375	glycine
GO:0042805	actinin binding
GO:0016971	flavin-linked sulfhydryl oxidase activity
GO:0015379	potassium
GO:0042800	histone methyltransferase activity (H3-K4 specific)
GO:0042802	identical protein binding
GO:0042803	protein homodimerization activity
GO:0047275	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity
GO:0047276	N-acetyllactosaminide 3-alpha-galactosyltransferase activity
GO:0047277	globoside alpha-N-acetylgalactosaminyltransferase activity
GO:0038036	sphingosine-1-phosphate receptor activity
GO:0070611	histone methyltransferase activity (H3-R2 specific)
GO:0033549	MAP kinase phosphatase activity
GO:0070140	SUMO-specific isopeptidase activity
GO:0032051	clathrin light chain binding
GO:0032052	bile acid binding
GO:0003681	bent DNA binding
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004647	phosphoserine phosphatase activity
GO:0046904	calcium oxalate binding
GO:0070548	L-glutamine aminotransferase activity
GO:0008432	JUN kinase binding
GO:0071813	lipoprotein particle binding
GO:0008430	selenium binding
GO:0008437	thyrotropin-releasing hormone activity
GO:0050207	plasmanylethanolamine desaturase activity
GO:0004876	complement component C3a receptor activity
GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen
GO:0016714	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen
GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
